commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt
Add CI for build and filechecks (#3),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),0.964273167227117,0.9647340508850054,0.9640521639091144,0.964244282141831,0.9639178048988032,0.9643433070262148,0.9643473945017322
Function inline pass bug fix (#20),0.964273167227117,0.9647340508850054,0.9640521639091144,0.964244282141831,0.9639178048988032,0.9643433070262148,0.9643473945017322
FunctionInlinePass Function Attribute 미확인 (#58),0.964273167227117,0.9647340508850054,0.9640521639091144,0.964244282141831,0.9639178048988032,0.9643433070262148,0.9643473945017322
RemoveUnusedPass (#10),0.964273167227117,0.9647340508850054,0.9640521639091144,0.964244282141831,0.9639178048988032,0.9643433070262148,0.9643473945017322
Fix RemoveUnusedPass bug (#31),0.964273167227117,0.9647340508850054,0.9640521639091144,0.964244282141831,0.9639178048988032,0.9643433070262148,0.9643473945017322
Arithmetic pass (#8),0.964273167227117,0.9647340508850054,0.9640521639091144,0.964244282141831,0.9639178048988032,0.9643433070262148,0.9643473945017322
Fix wrong return value (#35),0.964273167227117,0.9647340508850054,0.9640521639091144,0.964244282141831,0.9639178048988032,0.9643433070262148,0.9643473945017322
Add SimplifyCFGPass (#9),0.961927588677692,0.9603034303743652,0.961632682924368,0.9626866160625858,0.9614449381009724,0.9623496144586297,0.9631482501452312
Support compiler options (#17),0.961927588677692,0.9603034303743652,0.961632682924368,0.9626866160625858,0.9614449381009724,0.9623496144586297,0.9631482501452312
Automate testing benchmarks (#23),0.961927588677692,0.9603034303743652,0.961632682924368,0.9626866160625858,0.9614449381009724,0.9623496144586297,0.9631482501452312
Phierasepass (#27),0.961927588677692,0.9603034303743652,0.961632682924368,0.9626866160625858,0.9614449381009724,0.9623496144586297,0.9631482501452312
Fix PhierasePass Bug (#47),0.961927588677692,0.9603034303743652,0.961632682924368,0.9626866160625858,0.9614449381009724,0.9623496144586297,0.9631482501452312
Add GVNPass (#25),0.9250972294525467,0.9222851260936696,0.9241256818193284,0.9267824866503316,0.9235332341436118,0.9260161538609052,0.9278406941474338
Add BranchPredictPass (#29),0.8963803346414476,0.8967754928505897,0.8965375435834556,0.8964367467007915,0.895568437039883,0.8961421456078967,0.8968216420660684
Implement basic LoopVectorizePass (#32),0.8963803346414476,0.8967754928505897,0.8965375435834556,0.8964367467007915,0.895568437039883,0.8961421456078967,0.8968216420660684
Fix CI & compiler option (#42),0.8963803346414476,0.8967754928505897,0.8965375435834556,0.8964367467007915,0.895568437039883,0.8961421456078967,0.8968216420660684
Implement LoopUnrollPass (#49),0.8705945075268339,0.8832374857347446,0.8733392874262677,0.8648100151917082,0.8722425214474134,0.8676415467679203,0.862296188592949
Supplement LoopVectorizePass (#48),0.8705945075268339,0.8832374857347446,0.8733392874262677,0.8648100151917082,0.8722425214474134,0.8676415467679203,0.862296188592949
Refactor and add comments (#62),0.8705945075268339,0.8832374857347446,0.8733392874262677,0.8648100151917082,0.8722425214474134,0.8676415467679203,0.862296188592949
MatmulTransposePass (#52),0.8705945075268339,0.8832374857347446,0.8733392874262677,0.8648100151917082,0.8722425214474134,0.8676415467679203,0.862296188592949
Implement ConstantMergePass (#60),0.8705945075268339,0.8832374857347446,0.8733392874262677,0.8648100151917082,0.8722425214474134,0.8676415467679203,0.862296188592949
Sccp pass (#45),0.8705945075268339,0.8832374857347446,0.8733392874262677,0.8648100151917082,0.8722425214474134,0.8676415467679203,0.862296188592949
Add MemoryToStackPass (#51),0.8042239571269563,0.8158607263532414,0.8064427826806538,0.7991836873096327,0.80510766898138,0.8016694298729622,0.7970794475638668
Return correct PreservedAnalysis (#59),0.8042239571269563,0.8158607263532414,0.8064427826806538,0.7991836873096327,0.80510766898138,0.8016694298729622,0.7970794475638668
Fix filecheck details (#61),0.8042239571269563,0.8158607263532414,0.8064427826806538,0.7991836873096327,0.80510766898138,0.8016694298729622,0.7970794475638668
